STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202203,1,28,인천광역시,2352651,4,11579,3816124916,3530226597,2848020086,682206510,285898319,40524201
202203,1,47,경상북도,1974938,3,9019,2749401581,2563287289,2117886136,445401153,186114292,16815170
202203,1,48,경상남도,2532224,4,10467,3907884129,3619213272,2947464038,671749234,288670857,25513975
202203,1,30,대전광역시,1212840,4,11605,2109618213,1980308033,1641718812,338589220,129310180,17567133
202203,1,29,광주광역시,1161933,4,11573,2069947088,1942161620,1608259390,333902230,127785467,12800761
202203,1,27,대구광역시,1954217,4,11517,3065109536,2848323095,2323395136,524927959,216786441,25024312
202203,1,11,서울특별시,8083875,4,13110,14987695599,14041839907,11730027823,2311812084,945855692,274732704
202203,1,36,세종특별자치시,266868,5,15764,559788088,532076690,452334957,79741733,27711398,5958522
202203,1,45,전라북도,1354130,4,9566,2078500084,1951778181,1612952581,338825600,126721903,11411598
202203,1,43,충청북도,1262465,4,9706,1950790715,1826972702,1519579339,307393363,123818013,13412147
202203,1,44,충청남도,1661418,3,9487,2599571059,2445218770,2027795732,417423038,154352288,16803949
202203,1,46,전라남도,1328676,3,8687,1931345511,1810656343,1489718595,320937749,120689168,9371742
202203,1,26,부산광역시,2649269,4,12133,4283705865,3944267884,3157580523,786687361,339437981,39863510
202203,1,31,울산광역시,885502,4,11858,1447228721,1343096184,1115271551,227824633,104132536,10202515
202203,1,50,제주특별자치도,517453,4,9891,902981222,843137059,688158117,154978942,59844163,7525408
202203,1,42,강원도,1152961,3,9988,1785888280,1661219807,1356095831,305123976,124668473,11138336
202203,1,41,경기도,10769444,4,12803,19625036913,18365313390,15221197662,3144115728,1259723523,224575775
