STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202201,1,50,제주특별자치도,517275,4,9760,880099407,822615899,666877790,155738109,57483509,6397497
202201,1,43,충청북도,1261823,4,9562,1923085750,1804993543,1485510342,319483202,118092206,10574801
202201,1,47,경상북도,1974603,3,8906,2725066923,2547126812,2076265474,470861338,177940111,14349860
202201,1,48,경상남도,2530027,4,10328,3916441088,3639315864,2911809339,727506525,277125224,21424132
202201,1,46,전라남도,1328134,3,8571,1906024396,1791574214,1458364158,333210055,114450183,7996147
202201,1,11,서울특별시,8087499,4,12924,14740195681,13825584685,11428413147,2397171538,914610996,231127221
202201,1,44,충청남도,1661388,3,9359,2576629693,2430037556,1994742710,435294845,146592137,14247049
202201,1,30,대전광역시,1212280,4,11429,2094406312,1970125412,1624063417,346061994,124280901,15479242
202201,1,41,경기도,10766747,4,12623,19465926431,18253495688,14937461222,3316034466,1212430743,189634690
202201,1,28,인천광역시,2351905,4,11417,3687381852,3414210650,2701772679,712437971,273171202,33624153
202201,1,29,광주광역시,1160751,4,11413,2020488296,1898669791,1559944540,338725252,121818505,10588441
202201,1,36,세종특별자치시,266599,5,15538,565272907,538516122,451416876,87099246,26756785,5103605
202201,1,27,대구광역시,1952933,4,11374,3071984512,2864732395,2303513044,561219352,207252116,21801395
202201,1,42,강원도,1152233,3,9855,1785057270,1668704440,1349627180,319077260,116352830,9668574
202201,1,26,부산광역시,2648273,4,11978,4256616301,3927192104,3090969530,836222574,329424196,33113986
202201,1,31,울산광역시,884501,4,11693,1397449423,1296078767,1057665966,238412801,101370656,8438391
202201,1,45,전라북도,1352976,4,9437,2082838225,1961191236,1606172185,355019051,121646989,9695013
