STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202206,1,48,경상남도,2542505,4,10657,4120650266,3848519387,3177086476,671432910,272130879,30242845
202206,1,44,충청남도,1669523,3,9659,2738158863,2590068175,2171086321,418981854,148090688,21177192
202206,1,28,인천광역시,2358489,4,11802,3964073572,3692130183,3005623242,686506941,271943390,48177391
202206,1,30,대전광역시,1218006,4,11809,2214983797,2092094104,1753749368,338344736,122889693,21364933
202206,1,46,전라남도,1333425,3,8852,2067165306,1953191154,1634934858,318256296,113974152,11181037
202206,1,36,세종특별자치시,269490,5,15970,580200641,552369636,473437178,78932458,27831005,7557909
202206,1,41,경기도,10813309,4,13039,20607809022,19388923926,16207297908,3181626019,1218885096,271368901
202206,1,50,제주특별자치도,519644,4,10086,996264005,939338471,780471036,158867436,56925534,9243514
202206,1,11,서울특별시,8087824,4,13334,15954233859,15048524079,12674647457,2373876622,905709780,342728303
202206,1,43,충청북도,1266666,4,9857,2040372244,1923632750,1618262764,305369986,116739494,15061087
202206,1,27,대구광역시,1952417,4,11719,3238837970,3032767354,2494781532,537985822,206070616,29850014
202206,1,42,강원도,1157216,3,10153,1918929996,1801938260,1494276247,307662013,116991736,13299799
202206,1,31,울산광역시,884845,4,12066,1532716897,1431348725,1201986968,229361757,101368172,11772823
202206,1,45,전라북도,1357219,4,9713,2201576885,2081516177,1745421179,336094998,120060707,13743474
202206,1,26,부산광역시,2645942,4,12338,4497505469,4175689518,3382774496,792915022,321815952,47510588
202206,1,29,광주광역시,1166135,4,11823,2190507484,2068067895,1735158427,332909469,122439589,15466478
202206,1,47,경상북도,1978581,3,9160,2904387553,2727448605,2283388144,444060461,176938948,19544565
