STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202207,1,11,서울특별시,8088680,4,13400,16467224319,15580652703,12952357397,2628295306,886571616,340638178
202207,1,45,전라북도,1361150,4,9782,2239989576,2120094553,1758574800,361519753,119895023,13457835
202207,1,42,강원도,1162712,3,10238,1961970681,1844974041,1518801591,326172450,116996640,13232117
202207,1,44,충청남도,1677956,3,9735,2821428855,2673637257,2226944055,446693202,147791598,21050908
202207,1,28,인천광역시,2367864,4,11903,4212382232,3941519550,3179462691,762056859,270862681,47212071
202207,1,46,전라남도,1338421,3,8925,2118497247,2003893922,1665053502,338840420,114603326,11207730
202207,1,30,대전광역시,1218974,4,11872,2253585176,2131396085,1773603916,357792169,122189091,22133988
202207,1,50,제주특별자치도,521445,4,10174,1004379133,945852939,780558371,165294568,58526195,9078012
202207,1,26,부산광역시,2643804,4,12393,4594090009,4275037171,3435025306,840011865,319052838,47512419
202207,1,47,경상북도,1982558,3,9222,2959917023,2781576702,2310671820,470904882,178340322,19309389
202207,1,27,대구광역시,1949989,4,11795,3270207136,3064881307,2497347220,567534087,205325829,30186499
202207,1,36,세종특별자치시,271657,5,16088,602037990,574672137,489345297,85326841,27365853,7849354
202207,1,48,경상남도,2552525,4,10733,4236789529,3964665656,3238558221,726107435,272123873,30254074
202207,1,41,경기도,10847080,4,13127,21269614788,20063185282,16592723843,3470461439,1206429505,267592717
202207,1,43,충청북도,1270956,4,9919,2119353280,2002389391,1677172703,325216688,116963889,14573721
202207,1,29,광주광역시,1165295,4,11909,2195367544,2075678934,1726716456,348962477,119688610,15190335
202207,1,31,울산광역시,881090,4,12184,1564177212,1463540674,1217040225,246500449,100636538,12158192
