STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202208,1,42,강원도,1163025,3,10303,1969214596,1847550551,1538767399,308783151,121664045,15345400
202208,1,45,전라북도,1361620,4,9853,2249888708,2124405224,1784555678,339849546,125483484,15737713
202208,1,41,경기도,10850152,4,13226,21415874223,20151400526,16884407079,3266993447,1264473697,311309969
202208,1,50,제주특별자치도,521627,4,10248,995440138,934378745,777100839,157277906,61061393,10941337
202208,1,27,대구광역시,1950436,4,11876,3342274560,3128172204,2592332040,535840165,214102356,33672273
202208,1,30,대전광역시,1219391,4,11975,2268920858,2141817459,1796080276,345737183,127103400,24452825
202208,1,46,전라남도,1338790,3,8989,2112327280,1991519459,1674150140,317369319,120807821,12815319
202208,1,43,충청북도,1271094,4,9992,2136479433,2014025425,1706025439,307999987,122454008,17198649
202208,1,36,세종특별자치시,271802,5,16217,605597598,577098722,493701309,83397413,28498876,9117047
202208,1,29,광주광역시,1165882,4,12007,2243879260,2117320818,1780848853,336471965,126558442,17523727
202208,1,11,서울특별시,8090127,4,13506,16566478161,15636341345,13187356557,2448984788,930136816,396066704
202208,1,26,부산광역시,2643922,4,12482,4699415310,4365143522,3560809837,804333685,334271788,54779623
202208,1,44,충청남도,1678036,3,9795,2819304313,2663332526,2244139756,419192770,155971787,24183831
202208,1,28,인천광역시,2368471,4,11993,4270386915,3986039802,3279176126,706863676,284347113,53517362
202208,1,31,울산광역시,881533,4,12276,1587234371,1481964840,1252277057,229687782,105269532,13397566
202208,1,47,경상북도,1982577,3,9280,2982514577,2796574307,2349804316,446769991,185940270,21739457
202208,1,48,경상남도,2553387,4,10819,4288338273,4003808920,3324855332,678953588,284529353,34841148
