STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202205,1,11,서울특별시,8089123,4,13267,16597983041,15666942155,13225926879,2441015276,931040886,337359082
202205,1,48,경상남도,2539860,4,10608,4277436656,3993304548,3297760961,695543587,284132108,29164839
202205,1,31,울산광역시,884378,4,12010,1584417784,1479449286,1242511904,236937382,104968499,11590081
202205,1,29,광주광역시,1165534,4,11757,2249958337,2123892283,1783183760,340708523,126066054,15187508
202205,1,43,충청북도,1266548,4,9813,2117110301,1996168882,1682815447,313353436,120941419,15002484
202205,1,42,강원도,1156776,3,10117,1996212915,1874432210,1559089148,315343062,121780705,12947909
202205,1,50,제주특별자치도,519460,4,10037,1013497012,953948507,792675090,161273417,59548504,8834699
202205,1,28,인천광역시,2358135,4,11748,4138675072,3856509279,3143945766,712563513,282165793,47709917
202205,1,41,경기도,10812387,4,12979,21560841984,20306650172,17005464875,3301185296,1254191813,270537712
202205,1,46,전라남도,1332991,3,8807,2128782267,2009705226,1682881614,326823611,119077041,11163004
202205,1,36,세종특별자치시,269360,5,15904,611890785,583694512,500534492,83160020,28196273,7614696
202205,1,30,대전광역시,1217425,4,11736,2307784069,2181660471,1838314215,343346257,126123598,21267456
202205,1,47,경상북도,1978380,3,9119,2995018114,2809627842,2352325849,457301993,185390272,19352705
202205,1,26,부산광역시,2645065,4,12280,4638147038,4302178384,3482068058,820110326,335968654,46682651
202205,1,27,대구광역시,1951770,4,11656,3309158831,3094138459,2547372807,546765652,215020372,28837191
202205,1,44,충청남도,1669412,3,9611,2849425514,2696587568,2267745221,428842347,152837946,20658600
202205,1,45,전라북도,1356623,4,9684,2259582205,2133954281,1792913723,341040558,125627924,13262721
