STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202209,1,36,세종특별자치시,271930,5,16236,582983807,554428170,472512352,81915819,28555637,7717262
202209,1,46,전라남도,1338694,3,8993,2003443361,1884349802,1569233237,315116565,119093559,11608642
202209,1,50,제주특별자치도,521833,4,10279,972938524,912070490,749466586,162603904,60868035,9713017
202209,1,26,부산광역시,2643293,4,12497,4518983435,4186674863,3374828461,811846402,332308572,49639172
202209,1,31,울산광역시,881785,4,12293,1519888964,1415998631,1183459089,232539542,103890333,11998945
202209,1,48,경상남도,2553540,4,10844,4073630838,3791634699,3113258226,678376473,281996139,30455606
202209,1,47,경상북도,1982352,3,9283,2833627383,2651845832,2210844113,441001719,181781551,20041073
202209,1,41,경기도,10851160,4,13239,20868569394,19604191713,16305096612,3299095100,1264377682,286936254
202209,1,43,충청북도,1271098,4,10014,2070949740,1950169323,1645542671,304626652,120780417,15683952
202209,1,42,강원도,1163264,4,10318,1915703100,1796144327,1486672855,309471471,119558773,14340085
202209,1,44,충청남도,1677932,3,9801,2736528182,2583336146,2166150814,417185332,153192036,22492865
202209,1,11,서울특별시,8088928,4,13517,16300112025,15369678037,12733040087,2636637950,930433988,359566647
202209,1,30,대전광역시,1219727,4,12011,2206785302,2081755281,1736543642,345211639,125030021,22180633
202209,1,27,대구광역시,1950607,4,11898,3197850902,2983838730,2448022581,535816150,214012172,29944597
202209,1,29,광주광역시,1166085,4,12037,2172357929,2047029606,1709907379,337122227,125328323,15746419
202209,1,28,인천광역시,2368756,4,12012,4153219433,3868974827,3165411850,703562976,284244606,49840523
202209,1,45,전라북도,1361952,4,9867,2173872345,2050687093,1714018210,336668882,123185253,13659041
