STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202202,1,26,부산광역시,2648452,4,12060,3811937650,3509635056,2816428260,693206796,302302593,35514531
202202,1,50,제주특별자치도,517350,4,9833,800912161,748343140,612049255,136293885,52569021,6627390
202202,1,27,대구광역시,1953259,4,11450,2721903607,2531240127,2070913926,460326200,190663480,22804831
202202,1,31,울산광역시,884950,4,11780,1279627554,1185741284,981267048,204474235,93886271,8839964
202202,1,44,충청남도,1661033,3,9425,2286181434,2150407257,1783262044,367145213,135774177,15349353
202202,1,45,전라북도,1353391,4,9505,1816612418,1705300377,1411933261,293367115,111312042,10327344
202202,1,30,대전광역시,1212656,4,11519,1868594873,1755095604,1459223919,295871684,113499269,15957586
202202,1,28,인천광역시,2351956,4,11496,3358067291,3104948192,2511837425,593110767,253119099,35803525
202202,1,36,세종특별자치시,266739,5,15664,507189459,482364747,409711113,72653635,24824712,5505189
202202,1,48,경상남도,2530920,4,10404,3477002453,3224836659,2629749899,595086760,252165794,22731007
202202,1,42,강원도,1152423,3,9929,1577233449,1469860952,1203517804,266343149,107372497,10109394
202202,1,43,충청북도,1261907,4,9637,1717967232,1609412057,1338320874,271091184,108555175,12004744
202202,1,29,광주광역시,1161156,4,11500,1821220121,1710081245,1423370997,286710248,111138875,11511278
202202,1,46,전라남도,1328151,3,8635,1656812720,1551605251,1273131752,278473499,105207469,8762987
202202,1,11,서울특별시,8084383,4,13016,13288287539,12454291521,10427720299,2026571222,833996018,242915297
202202,1,47,경상북도,1974501,3,8966,2408962727,2246254830,1854966291,391288539,162707897,15592736
202202,1,41,경기도,10766710,4,12713,17430198413,16318254705,13553100161,2765154544,1111943708,199776112
